Date,Open,High,Low,Close,Volume
2022-10-12 06:00:00,19114.6,19200.0,19088.14,19152.0,978.16882339
2022-10-12 07:00:00,19151.98,19163.47,19080.1,19108.89,1143.25734276
2022-10-12 08:00:00,19109.18,19159.03,19089.35,19141.53,663.74973672
2022-10-12 09:00:00,19141.63,19199.06,19133.37,19170.61,611.22521616
2022-10-12 10:00:00,19168.95,19187.43,19122.02,19151.31,521.45265744
2022-10-12 11:00:00,19151.92,19167.72,19107.66,19114.21,643.02417698
2022-10-12 12:00:00,19114.07,19179.4,18971.51,19073.13,2102.00070708
2022-10-12 13:00:00,19074.84,19154.44,19032.44,19117.7,2611.6042539
2022-10-12 14:00:00,19117.02,19138.66,19060.12,19089.72,2128.27859661
2022-10-12 15:00:00,19089.72,19151.17,19084.92,19138.7,1453.93146475
2022-10-12 16:00:00,19138.84,19154.24,19077.09,19096.95,1107.70659777
2022-10-12 17:00:00,19096.95,19113.41,19063.82,19092.05,681.01973698
2022-10-12 18:00:00,19092.05,19163.83,19045.42,19116.7,1652.34740532
2022-10-12 19:00:00,19115.71,19178.03,19100.75,19137.7,854.63543333
2022-10-12 20:00:00,19135.59,19174.12,19121.89,19170.86,617.24407379
2022-10-12 21:00:00,19170.86,19195.71,19161.04,19181.63,380.19605126
2022-10-12 22:00:00,19181.99,19235.26,19152.57,19155.9,843.25293877
2022-10-12 23:00:00,19156.03,19173.28,19126.2,19155.92,562.82492616
2022-10-13 00:00:00,19153.97,19174.82,19116.9,19146.35,748.20095157
2022-10-13 01:00:00,19146.35,19155.94,19082.11,19105.87,762.88206267
2022-10-13 02:00:00,19105.57,19110.9,19014.6,19087.13,899.09334611
2022-10-13 03:00:00,19087.17,19114.6,19075.61,19087.16,498.72339139
2022-10-13 04:00:00,19087.14,19097.65,19065.55,19093.43,315.78009867
2022-10-13 05:00:00,19094.19,19111.67,19035.22,19091.33,545.49450326
2022-10-13 06:00:00,19090.85,19102.65,19040.73,19058.93,538.83481849
2022-10-13 07:00:00,19058.95,19058.95,18950.29,19003.32,1268.22042927
2022-10-13 08:00:00,19004.65,19037.25,18959.22,19009.26,786.08372626
2022-10-13 09:00:00,19008.51,19033.15,18977.44,18992.41,593.27492826
2022-10-13 10:00:00,18991.25,19003.76,18575.22,18689.43,3717.51642246
2022-10-13 11:00:00,18688.7,18829.92,18658.0,18753.89,1917.74973048
2022-10-13 12:00:00,18753.88,18974.0,18131.0,18382.87,7309.09263928
2022-10-13 13:00:00,18381.92,18475.0,18269.0,18431.44,4623.67867608
2022-10-13 14:00:00,18429.99,18496.43,18390.0,18413.73,3756.10359011
2022-10-13 15:00:00,18413.16,19051.48,18402.2,18959.2,6419.60143144
2022-10-13 16:00:00,18960.45,19200.0,18901.53,19087.42,3505.40532002
2022-10-13 17:00:00,19087.41,19225.37,19066.34,19158.26,2208.40042912
2022-10-13 18:00:00,19156.58,19509.23,19141.77,19425.39,2982.73943153
2022-10-13 19:00:00,19425.39,19470.26,19317.53,19374.91,2264.24792565
2022-10-13 20:00:00,19373.14,19497.17,19358.81,19386.13,1404.62674044
2022-10-13 21:00:00,19384.4,19435.39,19333.86,19403.69,665.81811912
2022-10-13 22:00:00,19403.69,19460.44,19390.65,19437.0,819.27447737
2022-10-13 23:00:00,19436.46,19448.85,19356.01,19378.65,609.65332857
2022-10-14 00:00:00,19375.55,19450.0,19341.61,19411.39,802.36994702
2022-10-14 01:00:00,19411.38,19954.14,19396.85,19858.45,3053.14772461
2022-10-14 02:00:00,19860.82,19898.01,19767.89,19831.54,2288.28201842
2022-10-14 03:00:00,19830.97,19874.65,19781.44,19817.93,1245.00699729
2022-10-14 04:00:00,19816.46,19850.0,19794.74,19814.02,956.55767176
2022-10-14 05:00:00,19812.26,19849.98,19729.47,19806.17,1278.56669836
2022-10-14 06:00:00,19802.96,19832.06,19779.76,19795.09,1247.91942687
2022-10-14 07:00:00,19794.76,19808.61,19571.51,19644.62,1784.63226521
2022-10-14 08:00:00,19643.27,19677.2,19559.87,19617.26,1303.24967639
2022-10-14 09:00:00,19617.15,19666.18,19533.36,19647.91,1147.38392735
2022-10-14 10:00:00,19648.32,19745.9,19630.26,19689.18,1771.98297913
2022-10-14 11:00:00,19688.14,19748.32,19587.41,19596.52,1267.73474517
2022-10-14 12:00:00,19596.0,19856.57,19563.49,19808.09,2777.07562688
2022-10-14 13:00:00,19804.87,19818.52,19625.63,19666.96,3348.19192406
2022-10-14 14:00:00,19666.95,19670.4,19346.01,19468.15,7233.43412794
2022-10-14 15:00:00,19465.88,19513.07,19306.82,19357.03,3447.00169187
2022-10-14 16:00:00,19357.66,19403.91,19221.03,19305.57,2573.31783887
2022-10-14 17:00:00,19305.18,19376.88,19288.0,19363.93,1674.39186797
2022-10-14 18:00:00,19362.95,19364.85,19133.31,19216.07,2374.72764709
2022-10-14 19:00:00,19214.14,19269.06,19108.28,19168.86,2287.01114881
2022-10-14 20:00:00,19171.57,19219.12,19120.13,19176.67,1006.45540833
2022-10-14 21:00:00,19176.68,19210.43,19076.83,19109.12,447.72408245
